uid,name,phone,region_name,area_name,distributor_name,territory_name,points,routes,notes
RET-000010054,Khatun Retail Hub,01653315827,Rajshahi,Rajpara,Crystal Distributors,Rajpara - Zone 2,678,Route-29,"New retailer, handle with care"
RET-000010055,Ahmed Mart,01686183694,Sylhet,Tilagarh,Global Supply Chain,Tilagarh - Zone 3,452,Route-68,Prefers WhatsApp communication
RET-000010056,Alam Super Shop,01658539477,Rangpur,Gangachara,Mega Trade BD,Gangachara - Zone 4,593,Route-23,"Bulk buyer, offer discounts"
RET-000010057,Ahmed Bhandar,01834005847,Sylhet,Kumarpara,City Distributors,Kumarpara - Zone 1,591,Route-27,Needs follow-up on pending order
RET-000010058,Jahan Point,01370465443,Chattogram,Nasirabad,Elite Commerce,Nasirabad - Zone 4,258,Route-55,"New retailer, handle with care"
RET-000010059,Iqbal Grocery,01817303453,Dhaka,Banani,Sunrise Wholesale,Banani - Zone 3,44,Route-10,High volume retailer
RET-000010060,Kabir Shop,01769132681,Sylhet,Zindabazar,Crystal Distributors,Zindabazar - Zone 2,777,Route-76,
RET-000010061,Kamal Wholesale,01650349798,Dhaka,Savar,Rahman Enterprises,Savar - Zone 2,359,Route-8,
RET-000010062,Akbar Trading,01927054878,Chattogram,Agrabad,Eastern Commerce,Agrabad - Zone 2,755,Route-65,
RET-000010063,Taher Super Shop,01561412873,Mymensingh,Fulbaria,Evergreen Trading,Fulbaria - Zone 5,443,Route-25,Prefers WhatsApp communication
RET-000010064,Alam Super Shop,01655285517,Dhaka,Mohammadpur,Nation Suppliers,Mohammadpur - Zone 5,331,Route-19,High volume retailer
RET-000010065,Khatun Super Shop,01793498889,Rangpur,Gangachara,Global Supply Chain,Gangachara - Zone 5,810,Route-33,Prefers WhatsApp communication
RET-000010066,Akter Grocery,01964320820,Barishal,Banaripara,AB Trading,Banaripara - Zone 4,151,Route-59,
RET-000010067,Ali Paiker,01590377973,Dhaka,Banani,Prime Wholesale,Banani - Zone 3,259,Route-10,
RET-000010068,Bhuiyan Trading,01880818335,Dhaka,Motijheel,Global Supply Chain,Motijheel - Zone 2,869,Route-72,High volume retailer
RET-000010069,Sarkar Mart,01773248756,Sylhet,Ambarkhana,Elite Commerce,Ambarkhana - Zone 3,262,Route-95,Prefers WhatsApp communication
RET-000010070,Sarkar Corner,01772527760,Rangpur,Rangpur Sadar,Crystal Distributors,Rangpur Sadar - Zone 1,915,Route-1,High volume retailer
RET-000010071,Hossain Point,01673249086,Chattogram,Pahartali,Pacific Distributors,Pahartali - Zone 4,560,Route-23,Payment always on time
RET-000010072,Kabir Retail Hub,01797248104,Barishal,Banaripara,Diamond Wholesale,Banaripara - Zone 1,459,Route-38,Prefers WhatsApp communication
RET-000010073,Rahman Super Shop,01351204053,Dhaka,Mirpur,Eastern Commerce,Mirpur - Zone 3,137,Route-58,
RET-000010074,Reza Point,01977032311,Chattogram,Halishahar,Mega Trade BD,Halishahar - Zone 3,744,Route-57,
RET-000010075,Ahmed Corner,01952781578,Khulna,Sonadanga,Crystal Distributors,Sonadanga - Zone 1,205,Route-3,"Regular customer, prefers morning visits"
RET-000010076,Siddique Bhandar,01579276704,Barishal,Airport,Royal Traders,Airport - Zone 4,468,Route-69,"Regular customer, prefers morning visits"
RET-000010077,Sultana Corner,01374703196,Rajshahi,Rajpara,AB Trading,Rajpara - Zone 1,363,Route-73,"Bulk buyer, offer discounts"
RET-000010078,Uddin Retail Hub,01861586877,Khulna,Khan Jahan Ali,Prime Wholesale,Khan Jahan Ali - Zone 3,210,Route-15,
RET-000010079,Islam Shop,01317797080,Khulna,Khan Jahan Ali,Sunrise Wholesale,Khan Jahan Ali - Zone 4,85,Route-50,"New retailer, handle with care"
RET-000010080,Mondal Mart,01829679129,Barishal,Gournadi,Sunrise Wholesale,Gournadi - Zone 2,334,Route-76,"Bulk buyer, offer discounts"
RET-000010081,Malek Corner,01968065809,Rajshahi,Rajpara,Eastern Commerce,Rajpara - Zone 3,715,Route-30,"Regular customer, prefers morning visits"
RET-000010082,Hossain Wholesale,01756145580,Rajshahi,Boalia,Crystal Distributors,Boalia - Zone 1,725,Route-37,High volume retailer
RET-000010083,Mia Wholesale,01783976866,Dhaka,Bashundhara,Global Supply Chain,Bashundhara - Zone 5,842,Route-44,Needs follow-up on pending order
RET-000010084,Sultana Retail Hub,01336570807,Rajshahi,Boalia,Global Supply Chain,Boalia - Zone 3,387,Route-5,"Regular customer, prefers morning visits"
RET-000010085,Taher Shop,01877876557,Mymensingh,Muktagachha,Royal Traders,Muktagachha - Zone 2,603,Route-26,High volume retailer
RET-000010086,Mondal Corner,01552439993,Chattogram,Chandgaon,Diamond Wholesale,Chandgaon - Zone 3,789,Route-97,
RET-000010087,Reza Trading,01651526610,Rajshahi,Rajpara,Eastern Commerce,Rajpara - Zone 1,360,Route-38,
RET-000010088,Hossain Corner,01547696857,Chattogram,Panchlaish,Global Supply Chain,Panchlaish - Zone 2,511,Route-49,Located near main market
RET-000010089,Akbar Retail Hub,01985265886,Rajshahi,Rajpara,Rahman Enterprises,Rajpara - Zone 5,865,Route-53,High volume retailer
RET-000010090,Sarkar Dokan,01953100495,Dhaka,Dhanmondi,United Distributors,Dhanmondi - Zone 5,912,Route-44,
RET-000010091,Bhuiyan Wholesale,01357024189,Dhaka,Gulshan,Eastern Commerce,Gulshan - Zone 1,657,Route-49,Needs follow-up on pending order
RET-000010092,Khan General Store,01757411012,Dhaka,Tejgaon,Rahman Enterprises,Tejgaon - Zone 5,539,Route-20,
RET-000010093,Siddique Enterprise,01970642735,Dhaka,Uttara,Eastern Commerce,Uttara - Zone 4,550,Route-26,
RET-000010094,Rahman General Store,01816795479,Rajshahi,Katakhali,Pacific Distributors,Katakhali - Zone 1,441,Route-80,Prefers WhatsApp communication
RET-000010095,Bhuiyan Mart,01593081633,Barishal,Banaripara,Rahman Enterprises,Banaripara - Zone 5,600,Route-85,Located near main market
RET-000010096,Chowdhury Trading,01948557250,Dhaka,Tejgaon,Diamond Wholesale,Tejgaon - Zone 5,929,Route-25,Prefers WhatsApp communication
RET-000010097,Sultana Super Shop,01843406700,Sylhet,South Surma,Nation Suppliers,South Surma - Zone 3,962,Route-14,"Bulk buyer, offer discounts"
RET-000010098,Begum Wholesale,01572003279,Rangpur,Kaunia,Evergreen Trading,Kaunia - Zone 5,891,Route-50,Located near main market
RET-000010099,Bhuiyan Store,01564439092,Rangpur,Pirganj,Royal Traders,Pirganj - Zone 2,745,Route-4,High volume retailer
RET-000010100,Alam Grocery,01621339316,Dhaka,Motijheel,Khan Brothers,Motijheel - Zone 2,870,Route-35,High volume retailer
RET-000010101,Ahmed Dokan,01665829556,Rajshahi,Motihar,Global Supply Chain,Motihar - Zone 2,638,Route-100,Needs follow-up on pending order
RET-000010102,Chowdhury Mini Mart,01683225685,Dhaka,Dhanmondi,Nation Suppliers,Dhanmondi - Zone 3,914,Route-84,
RET-000010103,Begum Point,01966824790,Rangpur,Rangpur Sadar,Khan Brothers,Rangpur Sadar - Zone 4,447,Route-66,
RET-000010104,Das General Store,01654327306,Dhaka,Gulshan,Pacific Distributors,Gulshan - Zone 1,595,Route-69,
RET-000010105,Haque Shop,01365880163,Dhaka,Dhanmondi,Bangla Trade House,Dhanmondi - Zone 2,924,Route-54,Located near main market
RET-000010106,Kabir Mart,01351138119,Khulna,Daulatpur,Evergreen Trading,Daulatpur - Zone 1,419,Route-2,
RET-000010107,Sharif Mini Mart,01799080535,Mymensingh,Fulbaria,AB Trading,Fulbaria - Zone 5,859,Route-27,"New retailer, handle with care"
RET-000010108,Mia Super Shop,01692634598,Chattogram,Chandgaon,Mega Trade BD,Chandgaon - Zone 4,311,Route-71,High volume retailer
RET-000010109,Sharif General Store,01929959386,Khulna,Khalishpur,City Distributors,Khalishpur - Zone 2,725,Route-93,High volume retailer
RET-000010110,Jahan Corner,01918384792,Rajshahi,Paba,Nation Suppliers,Paba - Zone 2,470,Route-24,
RET-000010111,Alam Retail Hub,01888900397,Sylhet,Ambarkhana,Prime Wholesale,Ambarkhana - Zone 1,305,Route-70,"Bulk buyer, offer discounts"
RET-000010112,Ali Retail Hub,01375563005,Sylhet,Ambarkhana,Star Distribution Co.,Ambarkhana - Zone 5,881,Route-30,
RET-000010113,Akter Bhandar,01751125057,Sylhet,Zindabazar,Star Distribution Co.,Zindabazar - Zone 3,103,Route-36,Payment always on time
RET-000010114,Haque Mart,01914463126,Khulna,Khan Jahan Ali,Eastern Commerce,Khan Jahan Ali - Zone 3,714,Route-45,
RET-000010115,Taher Shop,01536679803,Rajshahi,Paba,City Distributors,Paba - Zone 5,604,Route-42,"New retailer, handle with care"
RET-000010116,Siddique Paiker,01661649801,Rangpur,Gangachara,AB Trading,Gangachara - Zone 3,306,Route-45,"Bulk buyer, offer discounts"
RET-000010117,Rahman Paiker,01373541672,Barishal,Banaripara,Rahman Enterprises,Banaripara - Zone 5,130,Route-37,Needs follow-up on pending order
RET-000010118,Das Dokan,01545025744,Sylhet,South Surma,AB Trading,South Surma - Zone 3,924,Route-18,
RET-000010119,Bhuiyan Super Shop,01965328993,Dhaka,Mirpur,Royal Traders,Mirpur - Zone 5,162,Route-9,"Regular customer, prefers morning visits"
RET-000010120,Sultana Retail Hub,01610748592,Chattogram,Agrabad,Royal Traders,Agrabad - Zone 2,407,Route-30,Located near main market
RET-000010121,Sultana Trading,01928208427,Rajshahi,Katakhali,United Distributors,Katakhali - Zone 4,121,Route-62,"New retailer, handle with care"
RET-000010122,Haque Point,01951110769,Mymensingh,Fulbaria,Mega Trade BD,Fulbaria - Zone 5,379,Route-46,
RET-000010123,Malek Bhandar,01836060323,Dhaka,Gulshan,Nation Suppliers,Gulshan - Zone 1,757,Route-31,Prefers WhatsApp communication
RET-000010124,Noor Corner,01848107237,Chattogram,Panchlaish,Pacific Distributors,Panchlaish - Zone 5,555,Route-75,"Regular customer, prefers morning visits"
RET-000010125,Khan Bhandar,01667578006,Rajshahi,Paba,Evergreen Trading,Paba - Zone 2,990,Route-14,"Regular customer, prefers morning visits"
RET-000010126,Bhuiyan Dokan,01834299719,Barishal,Kotwali,Bangla Trade House,Kotwali - Zone 2,217,Route-51,"Bulk buyer, offer discounts"
RET-000010127,Rahman Wholesale,01329156360,Sylhet,Ambarkhana,Mega Trade BD,Ambarkhana - Zone 1,970,Route-100,Needs follow-up on pending order
RET-000010128,Khatun General Store,01895941168,Mymensingh,Trishal,Rahman Enterprises,Trishal - Zone 1,316,Route-71,
RET-000010129,Alam Dokan,01652148081,Dhaka,Motijheel,United Distributors,Motijheel - Zone 5,93,Route-3,
RET-000010130,Islam Corner,01518894733,Sylhet,Ambarkhana,AB Trading,Ambarkhana - Zone 5,918,Route-90,"Bulk buyer, offer discounts"
RET-000010131,Uddin Store,01555701614,Chattogram,Nasirabad,Eastern Commerce,Nasirabad - Zone 3,676,Route-9,"New retailer, handle with care"
RET-000010132,Uddin Point,01991909612,Mymensingh,Mymensingh Sadar,Royal Traders,Mymensingh Sadar - Zone 3,490,Route-63,"Bulk buyer, offer discounts"
RET-000010133,Iqbal Mart,01816624116,Dhaka,Motijheel,Pacific Distributors,Motijheel - Zone 1,398,Route-13,
RET-000010134,Siddique Shop,01534546367,Barishal,Airport,Sunrise Wholesale,Airport - Zone 5,763,Route-76,Located near main market
RET-000010135,Islam Bhandar,01977059247,Chattogram,Panchlaish,Mega Trade BD,Panchlaish - Zone 3,288,Route-13,
RET-000010136,Mondal Bhandar,01526270218,Mymensingh,Fulbaria,Prime Wholesale,Fulbaria - Zone 5,520,Route-65,Needs follow-up on pending order
RET-000010137,Sultana Wholesale,01678676001,Dhaka,Dhanmondi,United Distributors,Dhanmondi - Zone 1,632,Route-2,
RET-000010138,Khatun Enterprise,01725545610,Mymensingh,Bhaluka,Pacific Distributors,Bhaluka - Zone 2,117,Route-84,Located near main market
RET-000010139,Begum Store,01737086265,Mymensingh,Gafargaon,City Distributors,Gafargaon - Zone 1,80,Route-74,"New retailer, handle with care"
RET-000010140,Rahman Trading,01917755902,Rajshahi,Paba,City Distributors,Paba - Zone 2,891,Route-93,"New retailer, handle with care"
RET-000010141,Mia Trading,01345983848,Khulna,Batiaghata,Mega Trade BD,Batiaghata - Zone 1,915,Route-34,Located near main market
RET-000010142,Malek Grocery,01713710138,Sylhet,South Surma,Diamond Wholesale,South Surma - Zone 3,92,Route-94,Located near main market
RET-000010143,Islam Store,01749823682,Barishal,Barishal Sadar,Evergreen Trading,Barishal Sadar - Zone 4,889,Route-39,
RET-000010144,Mondal Point,01942541010,Chattogram,Halishahar,Khan Brothers,Halishahar - Zone 5,499,Route-99,"New retailer, handle with care"
RET-000010145,Sarkar Paiker,01615460095,Khulna,Khan Jahan Ali,Crystal Distributors,Khan Jahan Ali - Zone 2,252,Route-41,Prefers WhatsApp communication
RET-000010146,Khatun Paiker,01891205823,Mymensingh,Fulbaria,Rahman Enterprises,Fulbaria - Zone 2,511,Route-54,Needs follow-up on pending order
RET-000010147,Kabir Super Shop,01348682897,Sylhet,Kumarpara,Nation Suppliers,Kumarpara - Zone 3,125,Route-76,Payment always on time
RET-000010148,Haque Paiker,01711535904,Sylhet,South Surma,Eastern Commerce,South Surma - Zone 3,672,Route-61,"New retailer, handle with care"
RET-000010149,Uddin Super Shop,01319126750,Sylhet,South Surma,City Distributors,South Surma - Zone 3,623,Route-21,
RET-000010150,Mia Bhandar,01742320459,Dhaka,Tejgaon,Royal Traders,Tejgaon - Zone 4,88,Route-47,
RET-000010151,Iqbal Wholesale,01840030966,Mymensingh,Bhaluka,Star Distribution Co.,Bhaluka - Zone 1,129,Route-59,Needs follow-up on pending order
RET-000010152,Rahman Shop,01591222710,Khulna,Batiaghata,Elite Commerce,Batiaghata - Zone 4,278,Route-47,Payment always on time
RET-000010153,Bhuiyan Corner,01815304752,Dhaka,Mirpur,Nation Suppliers,Mirpur - Zone 3,472,Route-95,
RET-000010154,Ahmed Wholesale,01940747413,Khulna,Khalishpur,Khan Brothers,Khalishpur - Zone 4,511,Route-54,High volume retailer
RET-000010155,Iqbal Corner,01893328727,Rajshahi,Shah Makhdum,AB Trading,Shah Makhdum - Zone 3,11,Route-61,
RET-000010156,Sharif Paiker,01592015979,Khulna,Boyra,Global Supply Chain,Boyra - Zone 5,931,Route-29,
RET-000010157,Iqbal Mini Mart,01916587544,Chattogram,Halishahar,Nation Suppliers,Halishahar - Zone 2,512,Route-99,High volume retailer
RET-000010158,Ali Mart,01857143921,Rajshahi,Boalia,Rahman Enterprises,Boalia - Zone 2,719,Route-23,"New retailer, handle with care"
RET-000010159,Uddin Mart,01739559689,Barishal,Kotwali,United Distributors,Kotwali - Zone 5,95,Route-76,"New retailer, handle with care"
RET-000010160,Islam Dokan,01373425085,Khulna,Batiaghata,Star Distribution Co.,Batiaghata - Zone 3,505,Route-16,High volume retailer
RET-000010161,Ali Dokan,01623773459,Dhaka,Tejgaon,Mega Trade BD,Tejgaon - Zone 5,168,Route-4,High volume retailer
RET-000010162,Sultana Store,01618531167,Barishal,Airport,Evergreen Trading,Airport - Zone 5,698,Route-88,"New retailer, handle with care"
RET-000010163,Haque Store,01821829968,Rangpur,Gangachara,Global Supply Chain,Gangachara - Zone 5,692,Route-94,"New retailer, handle with care"
RET-000010164,Khan General Store,01683830545,Rajshahi,Rajpara,AB Trading,Rajpara - Zone 1,706,Route-88,Payment always on time
RET-000010165,Khatun Enterprise,01373136276,Barishal,Gournadi,City Distributors,Gournadi - Zone 4,274,Route-14,
RET-000010166,Iqbal Super Shop,01655843512,Rajshahi,Rajpara,Crystal Distributors,Rajpara - Zone 3,503,Route-10,"Regular customer, prefers morning visits"
RET-000010167,Iqbal Enterprise,01751943364,Dhaka,Mirpur,Sunrise Wholesale,Mirpur - Zone 4,57,Route-66,"Bulk buyer, offer discounts"
RET-000010168,Hossain Mart,01656939607,Sylhet,Subid Bazar,Elite Commerce,Subid Bazar - Zone 2,602,Route-63,"Regular customer, prefers morning visits"
RET-000010169,Sarkar Dokan,01891456885,Chattogram,Pahartali,City Distributors,Pahartali - Zone 5,27,Route-71,Needs follow-up on pending order
RET-000010170,Islam Grocery,01534043718,Rangpur,Kaunia,Mega Trade BD,Kaunia - Zone 1,712,Route-5,High volume retailer
RET-000010171,Khan Point,01872534906,Dhaka,Tejgaon,Star Distribution Co.,Tejgaon - Zone 3,6,Route-21,Payment always on time
RET-000010172,Mondal Corner,01769780836,Khulna,Khan Jahan Ali,Mega Trade BD,Khan Jahan Ali - Zone 4,769,Route-28,Prefers WhatsApp communication
RET-000010173,Sarkar Grocery,01566452549,Barishal,Babuganj,Rahman Enterprises,Babuganj - Zone 5,678,Route-90,High volume retailer
RET-000010174,Mia Varieties,01846382578,Chattogram,Pahartali,Royal Traders,Pahartali - Zone 4,990,Route-31,
RET-000010175,Haque Varieties,01989544690,Barishal,Airport,Pacific Distributors,Airport - Zone 1,755,Route-21,"New retailer, handle with care"
RET-000010176,Islam Wholesale,01591975971,Dhaka,Mohammadpur,AB Trading,Mohammadpur - Zone 3,158,Route-49,
RET-000010177,Jahan Paiker,01862878882,Sylhet,Ambarkhana,Diamond Wholesale,Ambarkhana - Zone 4,587,Route-67,"Bulk buyer, offer discounts"
RET-000010178,Ahmed Corner,01391819736,Chattogram,Kotwali,Pacific Distributors,Kotwali - Zone 2,67,Route-56,Needs follow-up on pending order
RET-000010179,Begum Store,01894864156,Dhaka,Mirpur,Sunrise Wholesale,Mirpur - Zone 3,469,Route-4,"New retailer, handle with care"
RET-000010180,Bhuiyan General Store,01363473340,Sylhet,Kumarpara,Bangla Trade House,Kumarpara - Zone 1,968,Route-89,"Bulk buyer, offer discounts"
RET-000010181,Begum Dokan,01535262110,Chattogram,Nasirabad,Eastern Commerce,Nasirabad - Zone 4,641,Route-83,Payment always on time
RET-000010182,Islam Paiker,01316890166,Barishal,Kotwali,Pacific Distributors,Kotwali - Zone 5,339,Route-98,High volume retailer
RET-000010183,Reza Grocery,01990664833,Rangpur,Mithapukur,Global Supply Chain,Mithapukur - Zone 5,140,Route-78,
RET-000010184,Ahmed Trading,01628881651,Mymensingh,Trishal,Rahman Enterprises,Trishal - Zone 2,355,Route-80,
RET-000010185,Reza Varieties,01336764628,Chattogram,Halishahar,Global Supply Chain,Halishahar - Zone 4,513,Route-2,
RET-000010186,Islam Bhandar,01632088909,Barishal,Banaripara,Royal Traders,Banaripara - Zone 3,907,Route-1,Prefers WhatsApp communication
RET-000010187,Das Super Shop,01949269260,Sylhet,Ambarkhana,Diamond Wholesale,Ambarkhana - Zone 4,195,Route-35,High volume retailer
RET-000010188,Akter Retail Hub,01916607920,Chattogram,Halishahar,Royal Traders,Halishahar - Zone 3,304,Route-69,High volume retailer
RET-000010189,Akter Varieties,01743616843,Rajshahi,Katakhali,Prime Wholesale,Katakhali - Zone 4,268,Route-67,High volume retailer
RET-000010190,Siddique Mini Mart,01518247815,Mymensingh,Mymensingh Sadar,Eastern Commerce,Mymensingh Sadar - Zone 5,623,Route-62,
RET-000010191,Bhuiyan Super Shop,01357999352,Sylhet,Ambarkhana,AB Trading,Ambarkhana - Zone 3,713,Route-68,
RET-000010192,Jahan Super Shop,01816480000,Rajshahi,Katakhali,Elite Commerce,Katakhali - Zone 4,216,Route-52,High volume retailer
RET-000010193,Iqbal Trading,01331384217,Dhaka,Motijheel,Royal Traders,Motijheel - Zone 5,56,Route-37,"New retailer, handle with care"
RET-000010194,Islam Mini Mart,01552770427,Rajshahi,Motihar,Bangla Trade House,Motihar - Zone 5,834,Route-1,
RET-000010195,Sharif Grocery,01683112080,Barishal,Babuganj,Evergreen Trading,Babuganj - Zone 2,940,Route-62,Prefers WhatsApp communication
RET-000010196,Sharif Bhandar,01655482750,Mymensingh,Trishal,Eastern Commerce,Trishal - Zone 5,590,Route-72,"New retailer, handle with care"
RET-000010197,Bhuiyan Trading,01712313203,Mymensingh,Gafargaon,AB Trading,Gafargaon - Zone 4,161,Route-21,High volume retailer
RET-000010198,Kabir Varieties,01876669549,Sylhet,Kumarpara,Evergreen Trading,Kumarpara - Zone 4,665,Route-63,"Bulk buyer, offer discounts"
RET-000010199,Hossain Varieties,01746279402,Dhaka,Mirpur,Sunrise Wholesale,Mirpur - Zone 5,900,Route-8,
RET-000010200,Akter Super Shop,01878401251,Dhaka,Dhanmondi,Sunrise Wholesale,Dhanmondi - Zone 3,424,Route-18,High volume retailer
RET-000010201,Taher Trading,01994646979,Chattogram,Halishahar,Rahman Enterprises,Halishahar - Zone 5,879,Route-87,
